commit	tk_s	status	description
97fa526	10.83	keep	baseline - Unsloth 4-bit FastVisionModel
43a0c9c	16.89	keep	BF16 instead of 4-bit - avoids dequantization overhead
f74c3ea	0.000	crash	vLLM - install failed (numba incompatible with Python 3.13)
24ae333	17.19	discard	torch.compile on BF16 Unsloth - marginal gain not worth complexity
b81616e	23.89	keep	FastLanguageModel + Qwen3-4B (pure text) - no vision overhead
211c3a6	32.61	keep	Qwen3-0.6B - smaller model, less memory bandwidth per token
4752890	33.59	discard	greedy decoding - barely faster, not the bottleneck
d142687	0.000	crash	custom loop - Unsloth needs explicit position_ids (fixed next)
4e75e9c	0.000	crash	custom loop - Unsloth returns tuple not CausalLMOutputWithPast (fixed next)
18b29e6	34.34	keep	custom loop with return_dict=True + position_ids - slight improvement
2ee6b45	290.54	keep	batched inference batch_size=8 - 8.5x gain amortizing per-step overhead
6398865	588.12	keep	batch_size=16 - near-linear scaling, same step time as batch=8
96557f0	1152.99	keep	batch_size=32 - 1.96x more than batch=16, still near-linear
a4c6431	2271.20	keep	batch_size=64 - 1.97x more than batch=32, linear scaling continues
d37011c	4520.53	keep	batch_size=128 - 1.99x more than batch=64, still near-linear
dd7e514	0.000	crash	batch_size=256 - OOM at ~37GB (model 1.2GB + KV cache overflow)
a653af2	0.000	crash	batch_size=192 - OOM at ~39GB near end of generation
