commit	tk_s	status	description
8dcca32	80.89	keep	baseline
d17a2ab	81.28	discard	n_batch=512 n_ubatch=512 n_threads=16 n_threads_batch=16 - no meaningful gain
ac4f70c	0	crash	type_k=8 type_v=8 q8_0 KV cache - unsupported type in this build, context creation failed
7d67873	0	crash	GGML_CUDA_GRAPH_OPT=1 - context creation failed (type_k=8 leftover bug)
381a2f5	80.82	discard	GGML_CUDA_GRAPH_OPT=1 (clean) - no improvement
bd18dc5	80.61	discard	GGML_CUDA_FORCE_MMQ=1 - no improvement
bbf73ae	80.34	keep	remove torch import - equal performance, simpler code (simplification win)
37a6692	80.22	keep	rebuild llama-cpp-python from git main (sm_80) - same perf, fresher code base
0dbd079	80.37	discard	GGML_CUDA_FORCE_CUBLAS=1 - no improvement
83e6f30	94.75	keep	flash_attn=True (new build) - 18% gain, 640 tokens generated naturally
714b7ff	94.32	discard	flash_attn=True + n_batch=512 n_ubatch=512 - no additional gain
7ccc6a3	75.03	discard	flash_attn=True + GGML_CUDA_DISABLE_GRAPHS=1 - much worse, graphs are essential
8fe3718	93.42	discard	flash_attn=True + GGML_CUDA_DISABLE_FUSION=1 - marginal loss, fusion helps
f3332ca	94.88	discard	flash_attn=True + GGML_CUDA_FORCE_CUBLAS=1 - no improvement
07d5411	0	crash	LlamaPromptLookupDecoding(ngram=2 pred=2) - scores allocation bug in llama.py (n_past+n_tokens > n_batch)
4eef8ea	51.03	discard	LlamaPromptLookupDecoding after patching llama.py scores bug - MoE batching overhead worse than gain
5ace154	94.66	discard	n_ctx=2048 - no improvement, attention not the bottleneck
014248f	94.89	discard	n_batch=2048 + flash_attn - no improvement
a466789	29.74	discard	type_k=30 type_v=30 bf16 KV cache - much worse, flash_attn doesn't support bf16 KV well
f37b898	95.06	discard	GGML_CUDA_REGISTER_HOST=1 - 0.3% gain is noise
1e208b3	82.01	discard	temperature=0 greedy - hit max_tokens (2000), longer context = slower
